,Title,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Publishers,Price,Release.Console,Release.Year,Length.Completionists.Polled,Length.Main Story.Average
532,NHL 07,4,True,True,Sports,EA,12.95,Sony PSP,2006,1,10.0
533,NHL 07 ,1,True,True,Sports,EA,5.95,X360,2006,1,10.0
534,NHL 08,7,True,True,Sports,EA,9.95,PlayStation 3,2007,0,17.5
535,NHL 08 ,1,True,True,Sports,EA,9.95,X360,2007,0,17.5
536,NHL 09,1,True,True,Sports,EA,19.95,PlayStation 3,2008,1,20.0
537,NHL 09 ,1,True,True,Sports,EA,14.95,X360,2008,1,20.0
538,NHL 2K6 ,1,True,True,Sports,2K,5.95,X360,2005,2,0.0
539,NHL 2K8,7,True,True,Sports,,9.95,PlayStation 3,2007,0,0.0
540,NHL 2K8 ,1,True,True,Sports,2K,6.95,X360,2007,0,0.0
541,NHL 2K9,1,True,True,Sports,2K,14.95,PlayStation 3,2008,0,0.0
542,NHL 2K9 ,1,True,True,Sports,2K,14.95,X360,2008,0,0.0
543,Nicktoons: Attack of the Toybots,1,True,True,Action,THQ,14.95,Nintendo Wii,2007,0,0.0
544,NiGHTS: Journey of Dreams,2,True,True,Action,Sega,14.95,Nintendo Wii,2007,0,6.5
545,Ninja Gaiden Sigma,1,True,True,Action,,19.95,PlayStation 3,2007,1,14.583333333333334
546,Ninja Gaiden: Dragon Sword,1,True,True,Action,,12.95,Nintendo DS,2008,0,5.166666666666667
547,Ninja Reflex,4,True,True,Action,EA,14.95,Nintendo Wii,2008,1,4.0
548,Ninjatown,1,True,True,Strategy,,19.95,Nintendo DS,2008,1,12.633333333333333
549,Nintendogs,1,True,True,Simulation,Nintendo,26.95,Nintendo DS,2005,1,27.966666666666665
550,Nitrobike,4,True,True,"Action,Racing / Driving,Sports",Ubisoft,14.95,Nintendo Wii,2008,0,0.0
551,No More Heroes,1,True,True,"Action,Racing / Driving",Ubisoft,17.95,Nintendo Wii,2007,12,10.533333333333331
552,ObsCure: The Aftermath,1,True,True,Action,,16.95,Nintendo Wii,2008,4,8.016666666666667
553,Octomania,1,True,True,"Action,Strategy",,14.95,Nintendo Wii,2007,0,0.0
554,Onechanbara: Bikini Samurai Squad,1,True,True,Action,,19.95,X360,2006,1,5.7
555,Ontamarama,1,True,True,Action,,17.95,Nintendo DS,2007,0,1.0
556,Open Season,1,True,True,Action,Ubisoft,17.95,Nintendo DS,2006,4,3.6666666666666665
557,Orcs & Elves,1,True,True,"Action,Role-Playing (RPG)",EA,14.95,Nintendo DS,2007,1,4.6
558,Order Up!,1,True,True,"Action,Simulation",,17.95,Nintendo Wii,2008,0,6.0
559,OutRun 2006: Coast 2 Coast,1,True,True,Racing / Driving,Sega,17.95,Sony PSP,2006,0,5.183333333333334
560,Over G Fighters,2,True,True,Simulation,Ubisoft,17.95,X360,2006,0,0.0
561,Over the Hedge,1,True,True,Adventure,Activision,16.95,Nintendo DS,2006,1,2.0
562,Overlord,1,True,True,"Action,Strategy",,17.95,X360,2007,14,18.1
563,Overlord: Raising Hell,2,True,True,"Action,Strategy",,17.95,PlayStation 3,2008,15,11.233333333333333
564,Pac-Man World 3,1,True,True,Action,"EA,Namco",24.95,Sony PSP,2005,0,8.0
565,Pac-Man World Rally,1,True,True,"Action,Racing / Driving",Namco,17.95,Sony PSP,2006,0,2.75
566,PaRappa the Rapper,1,True,True,Action,Sony,12.95,Sony PSP,2006,1,1.3
567,Patapon,1,True,True,"Action,Strategy",Sony,17.95,Sony PSP,2008,4,15.883333333333333
568,Perfect Dark Zero,4,True,True,Action,Microsoft,17.95,X360,2005,2,7.816666666666666
569,Peter Jackson's King Kong: The Official Game of...,2,True,True,Action,Ubisoft,14.95,X360,2005,17,6.583333333333333
570,Phantasy Star Universe,1,True,True,Role-Playing (RPG),Sega,24.95,X360,2006,2,27.73333333333333
571,Phoenix Wright: Ace Attorney,1,True,True,"Adventure,Simulation",Capcom,24.95,Nintendo DS,2005,87,16.916666666666668
572,Phoenix Wright: Ace Attorney - Justice for All,1,True,True,"Adventure,Simulation",Capcom,13.95,Nintendo DS,2006,58,17.75
573,Phoenix Wright: Ace Attorney - Trials and Tribu...,1,True,True,"Adventure,Simulation",Capcom,17.95,Nintendo DS,2007,48,20.416666666666668
574,Picross DS,1,True,True,Strategy,Nintendo,17.95,Nintendo DS,2007,9,39.516666666666666
575,Pinball Hall of Fame: The Gottlieb Collection,4,True,True,Action,,9.95,Sony PSP,2005,0,0.0
576,Pinball Hall of Fame: The Williams Collection,1,True,True,Simulation,,17.95,Nintendo Wii,2008,3,20.0
577,Pipe Mania,1,True,True,Strategy,,14.95,Nintendo DS,2008,0,0.0
578,Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,,14.95,Sony PSP,2006,1,2.083333333333333
579,Planet Puzzle League,1,True,True,Strategy,Nintendo,17.95,Nintendo DS,2007,0,0.3166666666666666
580,Platypus,2,True,True,Action,,14.95,Sony PSP,2006,0,1.4333333333333331
581,Point Blank DS,1,True,True,Action,"Atari,Namco",17.95,Nintendo DS,2006,0,0.9
582,Pokmon Battle Revolution,4,True,True,"Action,Strategy",Nintendo,39.95,Nintendo Wii,2006,1,13.016666666666667
583,Pokmon Dash,1,True,True,Racing / Driving,Nintendo,24.95,Nintendo DS,2004,1,1.1166666666666667
584,Pokmon Diamond,1,True,True,Role-Playing (RPG),Nintendo,27.95,Nintendo DS,2006,39,42.63333333333333
585,Pokmon Mystery Dungeon: Blue Rescue Team,1,True,True,Role-Playing (RPG),Nintendo,14.95,Nintendo DS,2005,6,22.566666666666663
586,Pokmon Mystery Dungeon: Explorers of Darkness,1,True,True,Role-Playing (RPG),Nintendo,15.95,Nintendo DS,2007,4,21.766666666666666
587,Pokmon Mystery Dungeon: Explorers of Time,1,True,True,Role-Playing (RPG),Nintendo,24.95,Nintendo DS,2007,4,21.766666666666666
588,Pokmon Pearl,1,True,True,Role-Playing (RPG),Nintendo,26.95,Nintendo DS,2006,39,42.63333333333333
589,Pokmon Ranger,1,True,True,Role-Playing (RPG),Nintendo,19.95,Nintendo DS,2006,5,12.55
590,Pokmon Ranger: Shadows of Almia,1,True,True,"Action,Role-Playing (RPG)",Nintendo,24.95,Nintendo DS,2008,7,21.3
591,Pokmon Trozei!,1,True,True,Strategy,Nintendo,19.95,Nintendo DS,2005,0,3.2333333333333334
592,Pokmon: Platinum Version,1,True,True,"Adventure,Role-Playing (RPG)",Nintendo,27.95,Nintendo DS,2008,18,33.55
593,Polarium,1,True,True,Strategy,Nintendo,8.95,Nintendo DS,2004,1,5.416666666666667
594,Power Stone Collection,1,True,True,Action,Capcom,14.95,Sony PSP,2006,0,0.0
595,PQ: Practical Intelligence Quotient,1,True,True,Strategy,,14.95,Sony PSP,2005,0,0.0
596,Prey,1,True,True,Action,2K,14.95,X360,2006,12,7.5
597,Prince of Persia,1,True,True,Action,Ubisoft,16.95,X360,2008,43,11.633333333333333
598,Prince of Persia: Revelations,1,True,True,Action,Ubisoft,6.95,Sony PSP,2005,0,0.0
599,Prism: Light the Way,1,True,True,"Action,Strategy",Eidos,16.95,Nintendo DS,2007,0,0.0
600,Pro Evolution Soccer 2008,4,True,True,Sports,Konami,14.95,X360,2007,2,0.0
601,Professor Layton and the Curious Village,1,True,True,"Adventure,Educational,Strategy",Nintendo,23.95,Nintendo DS,2007,60,12.8
602,Project Sylpheed: Arc of Deception,1,True,True,Action,"Microsoft,SquareEnix",14.95,X360,2006,0,5.8
603,Pure,1,True,True,"Racing / Driving,Sports",Disney,12.95,X360,2008,3,9.933333333333334
604,Pursuit Force,1,True,True,"Action,Racing / Driving",Sony,14.95,Sony PSP,2005,0,9.75
605,Pursuit Force: Extreme Justice,1,True,True,"Action,Racing / Driving",Sony,14.95,Sony PSP,2007,0,7.5
606,Puyo Pop Fever,1,True,True,"Action,Strategy",Sega,19.95,Nintendo DS,2004,0,1.75
607,Puzzle Quest: Challenge of the Warlords,1,True,True,"Role-Playing (RPG),Strategy",,17.95,Nintendo DS,2007,7,37.016666666666666
608,Quake 4,1,True,True,Action,Activision,14.95,X360,2005,13,7.8
609,R-Type Command,1,True,True,Strategy,,14.95,Sony PSP,2007,0,24.366666666666667
610,Raiden IV,2,True,True,Action,,32.95,X360,2008,0,0.8333333333333334
611,Rampage: Total Destruction,4,True,True,Action,Midway,16.95,Nintendo Wii,2006,0,5.0
612,Ratatouille,1,True,True,Action,THQ,19.95,Nintendo Wii,2007,2,7.5
613,Ratchet & Clank Future: Tools of Destruction,1,True,True,Action,Sony,22.95,PlayStation 3,2007,12,13.066666666666666
614,Ratchet & Clank: Size Matters,1,True,True,Action,Sony,14.95,Sony PSP,2007,4,7.116666666666666
615,Rayman Raving Rabbids,4,True,True,Action,Ubisoft,17.95,Nintendo Wii,2006,2,5.8
616,Rayman Raving Rabbids 2,4,True,True,Action,Ubisoft,17.95,Nintendo Wii,2007,0,5.0
617,Rayman Raving Rabbids TV Party,4,True,True,"Action,Racing / Driving,Sports,Strategy",Ubisoft,17.95,Nintendo Wii,2008,0,0.0
618,Red Steel,4,True,True,Action,Ubisoft,14.95,Nintendo Wii,2006,0,8.6
619,Rengoku: The Tower of Purgatory,1,True,True,"Action,Role-Playing (RPG)",Konami,12.95,Sony PSP,2005,0,4.716666666666667
620,Resident Evil 4,1,True,True,Action,Capcom,16.95,Nintendo Wii,2007,81,16.116666666666667
621,Resident Evil: Deadly Silence,1,True,True,Action,Capcom,17.95,Nintendo DS,2006,2,5.983333333333333
622,Resident Evil: The Umbrella Chronicles,2,True,True,Action,"Capcom,Nintendo",19.95,Nintendo Wii,2007,7,7.55
623,Resistance 2,2,True,True,Action,Sony,24.95,PlayStation 3,2008,2,10.1
624,Resistance: Fall of Man,4,True,True,Action,Sony,19.95,PlayStation 3,2006,4,11.75
625,Retro Atari Classics,1,True,True,"Action,Racing / Driving,Simulation",Atari,12.95,Nintendo DS,2005,0,0.0
626,Retro Game Challenge,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",Namco,17.95,Nintendo DS,2007,1,11.166666666666666
627,Rhapsody: A Musical Adventure,1,True,True,Role-Playing (RPG),,12.95,Nintendo DS,2008,4,9.65
628,Rhythm Heaven,1,True,True,Action,Nintendo,24.95,Nintendo DS,2008,4,5.966666666666667
629,Ridge Racer,1,True,True,Racing / Driving,Namco,19.95,Sony PSP,2004,1,0.6166666666666667
630,Ridge Racer 6,2,True,True,Racing / Driving,"EA,Namco",14.95,X360,2005,0,8.0
631,Ridge Racer 7,2,True,True,Racing / Driving,"Namco,Sony",19.95,PlayStation 3,2006,1,10.0
632,Ridge Racer DS,1,True,True,Racing / Driving,Namco,9.95,Nintendo DS,2004,0,2.2333333333333334
633,River King: Mystic Valley,1,True,True,"Adventure,Simulation,Sports",,24.95,Nintendo DS,2007,0,0.0
634,Riviera: The Promised Land,1,True,True,Role-Playing (RPG),,17.95,Sony PSP,2006,0,24.1
635,Rock Band,4,True,True,"Action,Simulation",,14.95,X360,2007,1,7.583333333333333
636,Rock Band 2,4,True,True,"Action,Simulation",,19.95,X360,2008,1,9.816666666666666
637,Rockstar Games presents Table Tennis,2,True,True,Sports,Rockstar,9.95,X360,2006,0,6.0
638,Rondo of Swords,1,True,True,"Role-Playing (RPG),Strategy",,19.95,Nintendo DS,2007,2,18.166666666666668
639,Rumble Roses XX,4,True,True,"Action,Sports",Konami,17.95,X360,2006,3,0.0
640,Rune Factory 2: A Fantasy Harvest Moon,1,True,True,"Action,Role-Playing (RPG),Simulation",,17.95,Nintendo DS,2008,1,0.0
641,Rune Factory: A Fantasy Harvest Moon,1,True,True,"Role-Playing (RPG),Simulation",,24.95,Nintendo DS,2006,1,0.0
642,Saints Row,1,True,True,"Action,Racing / Driving",THQ,14.95,X360,2006,7,17.883333333333333
643,Saints Row 2,1,True,True,"Action,Racing / Driving",THQ,17.95,X360,2008,29,20.266666666666666
644,Samba de Amigo,2,True,True,Action,Sega,12.95,Nintendo Wii,2008,0,8.0
645,Samurai Warriors 2,4,True,True,Action,,14.95,X360,2006,3,30.0
646,Samurai Warriors 2: Empires,2,True,True,"Action,Role-Playing (RPG),Strategy",,19.95,X360,2007,1,8.0
647,Samurai Warriors: Katana,1,True,True,Action,,17.95,Nintendo Wii,2008,0,0.0
648,Samurai Warriors: State of War,1,True,True,Action,,17.95,Sony PSP,2006,0,10.5
649,SBK: Snowboard Kids,1,True,True,"Action,Sports",,19.95,Nintendo DS,2006,2,0.0
650,Scarface: The World is Yours,1,True,True,"Action,Racing / Driving",,22.95,Nintendo Wii,2007,8,17.116666666666667
651,Scooby-Doo! Unmasked,1,True,True,Action,THQ,17.95,Nintendo DS,2005,0,8.0
652,Scurge: Hive,1,True,True,Action,,8.95,Nintendo DS,2006,2,10.316666666666666
653,Sea Monsters: A Prehistoric Adventure,1,True,True,"Action,Educational",,13.95,Nintendo DS,2007,1,0.0
654,Secret Agent Clank,1,True,True,Action,Sony,23.95,Sony PSP,2008,0,7.716666666666667
655,Secret Files: Tunguska,1,True,True,Adventure,,17.95,Nintendo DS,2008,9,8.8
656,SEGA Bass Fishing,1,True,True,Sports,Sega,17.95,Nintendo Wii,2008,2,3.333333333333333
657,Sega Casino,1,True,True,Simulation,Sega,17.95,Nintendo DS,2005,0,0.0
658,SEGA Genesis Collection,2,True,True,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,17.95,Sony PSP,2006,0,0.0
659,SEGA Rally Revo,2,True,True,"Racing / Driving,Simulation",Sega,14.95,X360,2007,1,0.0
660,Sega Superstars Tennis,4,True,True,Sports,Sega,9.95,X360,2008,0,7.4
661,Shadowrun,1,True,True,Action,Microsoft,12.95,X360,2007,12,21.45
662,Shaun White Snowboarding,1,True,True,Sports,Ubisoft,14.95,X360,2008,0,0.0
663,Shaun White Snowboarding: Road Trip,1,True,True,Sports,Ubisoft,14.95,Nintendo Wii,2008,0,0.0
664,Shrek SuperSlam,1,True,True,Action,Activision,11.95,Nintendo DS,2005,0,1.2166666666666668
665,Shrek the Third,2,True,True,Action,Activision,14.95,X360,2007,1,4.0
666,Sid Meier's Civilization: Revolution,1,True,True,Strategy,2K,24.95,X360,2008,5,4.966666666666667
667,Silent Hill: 0rigins,1,True,True,Action,Konami,17.95,Sony PSP,2007,4,6.083333333333333
668,Silent Hill: Homecoming,1,True,True,Action,Konami,17.95,X360,2008,5,9.35
669,SimCity Creator,1,True,True,Simulation,EA,24.95,Nintendo Wii,2008,0,0.0
670,SimCity DS,1,True,True,Simulation,EA,14.95,Nintendo DS,2007,0,3.0
671,SingStar,6,True,True,Simulation,Sony,14.95,PlayStation 3,2007,0,0.0
672,SingStar ABBA,8,True,True,Action,Sony,17.95,PlayStation 3,2008,0,0.0
673,skate it,4,True,True,"Action,Sports",EA,39.95,Nintendo Wii,2008,0,0.0
674,Smash Court Tennis 3,1,True,True,Sports,Namco,19.95,Sony PSP,2007,0,0.0
675,Snoopy vs. the Red Baron,1,True,True,Action,Namco,17.95,Sony PSP,2006,0,6.0
676,SOCOM: U.S. Navy SEALs - Confrontation,1,True,True,Action,Sony,16.95,PlayStation 3,2008,0,10.0
677,SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,True,True,Action,Sony,14.95,Sony PSP,2005,0,8.583333333333334
678,SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,True,True,Action,Sony,16.95,Sony PSP,2006,0,0.0
679,SOCOM: U.S. Navy SEALs - Tactical Strike,1,True,True,"Action,Strategy",Sony,14.95,Sony PSP,2007,0,0.0
680,Soldier of Fortune: Payback,1,True,True,Action,Activision,13.95,X360,2007,0,3.333333333333333
681,Sonic and the Secret Rings,4,True,True,Action,Sega,16.95,Nintendo Wii,2007,1,9.266666666666667
682,Sonic Chronicles: The Dark Brotherhood,1,True,True,"Action,Role-Playing (RPG)",Sega,17.95,Nintendo DS,2008,2,14.5
683,Sonic Riders: Zero Gravity,4,True,True,Racing / Driving,Sega,16.95,Nintendo Wii,2008,2,3.1
684,Sonic Rivals,1,True,True,"Action,Racing / Driving",Sega,17.95,Sony PSP,2006,1,6.15
685,Sonic Rivals 2,1,True,True,Action,Sega,22.95,Sony PSP,2007,1,0.0
686,Sonic Rush,1,True,True,Action,Sega,14.95,Nintendo DS,2005,5,4.966666666666667
687,Sonic Rush Adventure,1,True,True,"Action,Sports",Sega,24.95,Nintendo DS,2007,4,6.233333333333333
688,Sonic the Hedgehog,2,True,True,Action,Sega,14.95,X360,2007,2,2.8166666666666664
689,Sonic Unleashed,1,True,True,Action,Sega,17.95,Nintendo Wii,2008,1,12.8
690,Soul Bubbles,1,True,True,Strategy,Eidos,14.95,Nintendo DS,2008,4,6.0
691,SoulCalibur IV,2,True,True,Action,Namco,19.95,X360,2008,4,3.183333333333333
692,Soulcalibur Legends,2,True,True,Action,Namco,16.95,Nintendo Wii,2007,0,12.6
693,Space Bust-A-Move,1,True,True,Strategy,SquareEnix,17.95,Nintendo DS,2008,1,1.0
694,Space Chimps,2,True,True,"Action,Adventure",,14.95,X360,2008,0,0.0
695,Space Invaders Extreme,1,True,True,Action,SquareEnix,16.95,Nintendo DS,2008,0,0.0
696,Space Invaders Revolution,1,True,True,Action,,13.95,Nintendo DS,2005,0,0.0
697,Spectrobes,1,True,True,"Action,Strategy",,14.95,Nintendo DS,2007,2,0.0
698,Spectrobes: Beyond the Portals,1,True,True,"Action,Role-Playing (RPG)",Disney,11.95,Nintendo DS,2008,0,24.266666666666666
699,Speed Racer: The Videogame,2,True,True,Racing / Driving,,16.95,Nintendo Wii,2008,1,0.0
700,Spider-Man 2,1,True,True,Action,Activision,14.95,Nintendo DS,2004,2,8.35
701,Spider-Man 3,1,True,True,Action,Ubisoft,6.95,Sony PSP,2006,1,9.633333333333333
702,Spider-Man: Friend or Foe,2,True,True,Action,Activision,17.95,X360,2007,6,8.35
703,Spider-Man: Web of Shadows,1,True,True,Action,Activision,19.95,X360,2008,2,10.7
704,SpongeBob Squarepants: Creature from the Krusty Krab,1,True,True,"Action,Adventure",THQ,14.95,Nintendo Wii,2006,3,5.883333333333333
705,SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,THQ,13.95,Nintendo DS,2005,1,8.0
706,Spore Creatures,1,True,True,"Adventure,Simulation",EA,14.95,Nintendo DS,2008,0,0.0
707,Sprung,1,True,True,Adventure,Ubisoft,8.95,Nintendo DS,2004,1,0.0
708,Spyro: Shadow Legacy,1,True,True,Role-Playing (RPG),,17.95,Nintendo DS,2005,1,2.5166666666666666
709,SSX Blur,4,True,True,Sports,EA,17.95,Nintendo Wii,2007,0,10.0
710,SSX on Tour,1,True,True,Sports,EA,16.95,Sony PSP,2005,0,0.0
711,Star Fox Command,1,True,True,Action,Nintendo,14.95,Nintendo DS,2006,0,3.3166666666666664
712,Star Ocean: First Departure,1,True,True,"Action,Role-Playing (RPG)",SquareEnix,17.95,Sony PSP,2008,2,21.08333333333333
713,Star Trek Legacy,2,True,True,"Action,Strategy",Ubisoft,24.95,X360,2006,1,9.4
714,Star Trek: Conquest,1,True,True,"Action,Strategy",,27.95,Nintendo Wii,2007,0,0.0
715,Star Trek: Tactical Assault,1,True,True,"Action,Strategy",Ubisoft,17.95,Nintendo DS,2006,0,0.0
716,Star Wars Battlefront: Renegade Squadron,1,True,True,Action,,16.95,Sony PSP,2007,0,4.066666666666666
717,Star Wars: Battlefront II,1,True,True,Action,,16.95,Sony PSP,2005,14,7.783333333333333
718,Star Wars: Episode III - Revenge of the Sith,1,True,True,Action,Ubisoft,16.95,Nintendo DS,2005,3,4.616666666666667
719,Star Wars: Lethal Alliance,1,True,True,Action,Ubisoft,17.95,Sony PSP,2006,0,5.666666666666667
720,Star Wars: The Clone Wars - Jedi Alliance,1,True,True,"Action,Adventure",,17.95,Nintendo DS,2008,0,5.133333333333334
721,Star Wars: The Force Unleashed,1,True,True,Action,,16.95,X360,2008,8,5.333333333333333
722,Street Fighter Alpha 3 MAX,1,True,True,Action,Capcom,14.95,Sony PSP,2006,0,2.0
723,Stuntman: Ignition,4,True,True,"Action,Racing / Driving",THQ,14.95,X360,2007,3,6.016666666666667
724,Summer Athletics 2009,4,True,True,Sports,,19.95,Nintendo Wii,2008,0,0.0
725,Summon Night: Twin Age,1,True,True,Role-Playing (RPG),,24.95,Nintendo DS,2008,1,13.633333333333333
726,Super Dodgeball Brawlers,1,True,True,"Action,Sports",,19.95,Nintendo DS,2008,0,0.6833333333333333
727,Super Mario 64 DS,1,True,True,Action,Nintendo,24.95,Nintendo DS,2004,20,14.333333333333334
728,Super Mario Galaxy,2,True,True,Action,Nintendo,39.95,Nintendo Wii,2007,61,15.283333333333331
729,Super Monkey Ball Adventure,1,True,True,"Action,Racing / Driving",Sega,24.95,Sony PSP,2006,0,0.0
730,Super Monkey Ball: Banana Blitz,4,True,True,Action,Sega,14.95,Nintendo Wii,2006,0,5.316666666666666
731,Super Monkey Ball: Touch & Roll,1,True,True,Action,Sega,15.95,Nintendo DS,2005,0,0.85
732,Super Paper Mario,1,True,True,"Action,Role-Playing (RPG)",Nintendo,29.95,Nintendo Wii,2007,11,17.966666666666665
733,Super Princess Peach,1,True,True,Action,Nintendo,29.95,Nintendo DS,2005,6,7.616666666666667
734,Super Smash Bros.: Brawl,6,True,True,Action,Nintendo,39.95,Nintendo Wii,2008,15,10.85
735,Super Swing Golf,1,True,True,Sports,,16.95,Nintendo Wii,2006,0,0.0
736,Super Swing Golf Season 2,1,True,True,Sports,,19.95,Nintendo Wii,2007,0,0.0
737,Superman Returns,1,True,True,Action,EA,7.95,X360,2006,4,7.0
738,Supreme Commander,1,True,True,Strategy,,17.95,X360,2008,4,19.6
739,Surf's Up,1,True,True,"Racing / Driving,Sports",Ubisoft,14.95,Nintendo DS,2007,0,1.2833333333333332
740,SWAT: Target Liberty,1,True,True,"Action,Strategy",,12.95,Sony PSP,2007,0,0.0
741,Syberia,1,True,True,Adventure,,23.95,Nintendo DS,2008,32,9.916666666666666
742,Syphon Filter: Dark Mirror,1,True,True,Action,Sony,12.95,Sony PSP,2006,1,6.85
743,Syphon Filter: Logan's Shadow,1,True,True,"Action,Strategy",Sony,16.95,Sony PSP,2007,2,11.0
744,Tales of Symphonia: Dawn of the New World,4,True,True,Role-Playing (RPG),Namco,24.95,Nintendo Wii,2008,5,32.81666666666667
745,Tales of Vesperia,1,True,True,"Adventure,Role-Playing (RPG)",Namco,27.95,X360,2008,16,51.68333333333333
746,Tao's Adventure: Curse of the Demon Seal,1,True,True,Role-Playing (RPG),Konami,14.95,Nintendo DS,2006,0,45.0
747,Target: Terror,1,True,True,Action,Konami,17.95,Nintendo Wii,2008,0,0.0
748,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,True,True,"Action,Adventure",Konami,17.95,Nintendo DS,2005,0,4.5
749,Tekken: Dark Resurrection,1,True,True,Action,"Namco,Sony",17.95,Sony PSP,2006,2,2.3666666666666667
750,Tenchu Z,1,True,True,Action,Microsoft,14.95,X360,2006,3,20.816666666666663
751,Tenchu: Dark Secret,1,True,True,Action,Nintendo,14.95,Nintendo DS,2006,0,7.1
752,Test Drive Unlimited,1,True,True,Racing / Driving,Atari,17.95,X360,2006,3,28.08333333333333
753,Tetris DS,1,True,True,Strategy,Nintendo,17.95,Nintendo DS,2006,2,16.75
754,Tetris Evolution,4,True,True,Strategy,THQ,17.95,X360,2007,0,0.0
755,Tetris Party,4,True,True,Strategy,,24.95,Nintendo Wii,2008,0,2.0
756,The Ant Bully,1,True,True,Action,Midway,16.95,Nintendo Wii,2006,0,3.5666666666666664
757,The BIGS,4,True,True,"Action,Simulation,Sports",2K,17.95,Nintendo Wii,2007,1,6.866666666666667
758,The Chronicles of Narnia: Prince Caspian,2,True,True,"Action,Role-Playing (RPG)",Disney,16.95,Nintendo Wii,2008,2,14.0
759,"The Chronicles of Narnia: The Lion, the Witch a...",1,True,True,"Action,Role-Playing (RPG)",,12.95,Nintendo DS,2005,0,3.6166666666666663
760,The Club,4,True,True,Action,Sega,14.95,X360,2008,1,4.583333333333333
761,The Con,1,True,True,Action,Sony,8.95,Sony PSP,2005,0,0.0
762,The Dark Spire,1,True,True,"Adventure,Role-Playing (RPG)",,24.95,Nintendo DS,2008,3,27.916666666666668
763,The Darkness,1,True,True,Action,2K,14.95,X360,2007,5,9.433333333333334
764,The Elder Scrolls IV: Oblivion,1,True,True,"Action,Role-Playing (RPG)",2K,19.95,X360,2006,117,26.83333333333333
765,The Elder Scrolls IV: Shivering Isles,1,True,True,"Action,Role-Playing (RPG)",,24.95,X360,2007,5,11.266666666666667
766,The Eye of Judgment,2,True,True,Strategy,Sony,12.95,PlayStation 3,2007,0,0.0
767,The Fast and the Furious,1,True,True,Racing / Driving,Namco,22.95,Sony PSP,2007,0,0.0
768,The Godfather: The Game,1,True,True,Action,EA,17.95,X360,2006,11,12.933333333333334
769,The Golden Compass,1,True,True,Action,Sega,9.95,X360,2007,0,6.583333333333333
770,The House of the Dead 2 & 3 Return,2,True,True,Action,Sega,17.95,Nintendo Wii,2008,2,3.183333333333333
771,The Incredible Hulk,1,True,True,Action,Sega,16.95,Nintendo Wii,2008,1,0.0
772,The King of Fighters Collection: The Orochi Saga,1,True,True,Action,,17.95,Nintendo Wii,2008,0,0.0
773,The Last Remnant,1,True,True,Role-Playing (RPG),SquareEnix,14.95,X360,2008,13,60.78333333333333
774,The Legend of Heroes II: Prophecy of the Moonli...,1,True,True,Role-Playing (RPG),Namco,17.95,Sony PSP,2006,1,23.53333333333333
775,The Legend of Heroes III: Song of the Ocean,1,True,True,Role-Playing (RPG),Namco,17.95,Sony PSP,2007,1,44.85
776,The Legend of Heroes: A Tear of Vermillion,1,True,True,Role-Playing (RPG),,17.95,Sony PSP,2005,2,26.266666666666666
777,The Legend of Kage 2,1,True,True,Action,SquareEnix,14.95,Nintendo DS,2008,0,3.333333333333333
778,The Legend of Zelda: Phantom Hourglass,1,True,True,Action,Nintendo,24.95,Nintendo DS,2007,21,16.1
779,The Legend of Zelda: Twilight Princess,1,True,True,"Action,Role-Playing (RPG)",Nintendo,39.95,Nintendo Wii,2006,106,37.266666666666666
780,The Legendary Starfy,1,True,True,"Action,Adventure",Nintendo,24.95,Nintendo DS,2008,5,8.133333333333333
781,The Lord of the Rings: Tactics,1,True,True,"Role-Playing (RPG),Strategy",EA,19.95,Sony PSP,2005,0,5.0
782,The Lord of the Rings: The Battle for Middle Ea...,1,True,True,Strategy,EA,19.95,X360,2006,8,14.716666666666669
783,The Orange Box,1,True,True,Action,,17.95,X360,2007,4,26.65
784,The Outfit,2,True,True,Action,THQ,14.95,X360,2006,0,8.0
785,The Rub Rabbits!,2,True,True,"Action,Adventure",Sega,17.95,Nintendo DS,2005,0,2.1666666666666665
786,The Settlers,1,True,True,Strategy,Ubisoft,17.95,Nintendo DS,2007,1,3.75
787,The Simpsons Game,1,True,True,Action,EA,17.95,Nintendo DS,2007,7,0.9333333333333332
788,The Sims 2,1,True,True,"Role-Playing (RPG),Simulation",EA,17.95,Nintendo DS,2005,1,40.66666666666666
789,The Sims 2: Apartment Pets,1,True,True,Simulation,EA,17.95,Nintendo DS,2008,0,0.0
790,The Sims 2: Castaway,1,True,True,Simulation,EA,16.95,Nintendo DS,2007,0,0.0
791,The Sims 2: Pets,1,True,True,Simulation,EA,14.95,Nintendo DS,2006,0,0.0
792,The Spiderwick Chronicles,2,True,True,"Action,Adventure",,16.95,Nintendo Wii,2008,0,4.0
793,The Urbz: Sims in the City,1,True,True,Simulation,EA,12.95,Nintendo DS,2004,2,15.5
794,The Warriors,1,True,True,Action,Rockstar,17.95,Sony PSP,2007,1,12.733333333333333
